Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2015-05-30,Sydney,11.1,18.3,0.2,2.4,1.1,W,28.0,WNW,WNW,11.0,9.0,84.0,52.0,1022.0,1017.8,7.0,7.0,13.1,17.0,No,No
2014-10-06,MountGambier,8.1,25.2,1.4,4.0,1.7,,,N,N,28.0,28.0,69.0,51.0,1002.7,993.8,8.0,7.0,15.0,21.9,Yes,Yes
2016-05-07,BadgerysCreek,5.8,26.1,0.0,,,NE,20.0,,NE,0.0,9.0,100.0,48.0,1021.4,1017.9,,,12.7,24.6,No,No
2016-05-14,Wollongong,13.7,22.3,0.0,,,NNW,24.0,NW,N,7.0,11.0,43.0,61.0,1022.9,1019.2,,,19.7,21.4,No,No
2015-06-03,Woomera,6.1,14.4,0.0,3.4,0.4,NNE,31.0,NNE,N,17.0,20.0,61.0,38.0,1024.8,1021.4,7.0,7.0,8.9,14.0,No,No
2017-02-23,Albany,14.9,22.0,0.0,4.2,,,,SW,,4.0,,72.0,,1023.9,1022.2,6.0,,18.5,,No,No
2013-10-10,Sale,12.0,20.0,0.0,9.4,1.0,NNW,80.0,SW,W,7.0,9.0,63.0,91.0,1001.7,1005.9,7.0,8.0,18.4,14.6,No,Yes
2009-04-11,Townsville,23.4,29.1,3.2,4.4,4.1,ESE,50.0,SE,SE,17.0,17.0,83.0,85.0,1016.6,1014.4,7.0,7.0,26.1,24.8,Yes,Yes
2012-07-30,Cairns,11.8,24.9,0.0,6.2,11.0,S,37.0,S,ESE,15.0,20.0,53.0,50.0,1018.9,1015.4,1.0,1.0,19.5,23.2,No,No
2016-11-15,Cairns,19.0,35.1,0.0,7.8,,SE,48.0,SSE,SE,20.0,37.0,30.0,24.0,1013.4,1010.2,,,30.3,32.2,No,No
2011-12-08,MountGinini,3.3,13.5,0.0,,,NE,30.0,SE,N,4.0,4.0,77.0,72.0,,,,,9.9,11.5,No,No
2012-02-21,Ballarat,12.8,23.1,0.0,,,SSE,37.0,S,SE,22.0,17.0,85.0,51.0,1015.3,1013.3,8.0,,13.7,21.5,No,No
2015-04-12,Witchcliffe,15.6,19.7,6.6,,,SSW,46.0,S,S,19.0,20.0,84.0,86.0,1015.3,1014.6,,,17.7,17.3,Yes,Yes
2013-03-26,NorfolkIsland,17.1,24.4,1.0,5.2,7.2,E,50.0,ESE,E,17.0,24.0,75.0,52.0,1020.1,1018.4,7.0,6.0,20.5,23.5,No,No
2009-08-21,SalmonGums,8.3,16.4,1.4,,,W,48.0,WSW,WNW,15.0,24.0,72.0,34.0,,,,,10.8,15.4,Yes,No
2015-07-16,MelbourneAirport,4.8,12.0,0.0,0.2,3.7,SSE,39.0,SSE,S,17.0,26.0,76.0,60.0,1024.6,1022.4,5.0,7.0,9.1,11.2,No,No
2011-06-27,Tuggeranong,-3.7,14.8,0.0,,,NW,17.0,WSW,NW,2.0,9.0,90.0,45.0,1030.2,1028.1,,,0.6,14.7,No,No
2015-08-05,Williamtown,3.8,15.3,0.0,2.8,8.8,WNW,59.0,WNW,NW,33.0,31.0,41.0,34.0,1016.0,1012.2,1.0,5.0,9.6,14.5,No,No
2013-08-07,Bendigo,0.7,11.3,0.2,2.6,,SSW,44.0,,ENE,0.0,15.0,92.0,87.0,1012.5,1007.5,7.0,8.0,6.3,9.9,No,Yes
2017-06-16,Perth,6.5,21.2,0.0,1.0,8.3,S,20.0,SE,SW,4.0,7.0,97.0,50.0,1027.3,1024.7,1.0,2.0,12.7,20.4,No,No
2010-11-14,Woomera,13.1,28.1,1.0,4.8,9.8,WSW,50.0,SSE,W,13.0,17.0,69.0,20.0,1017.7,1015.1,0.0,1.0,18.0,26.1,No,No
2015-12-26,Moree,19.5,30.4,,,,NE,44.0,NNE,SW,30.0,13.0,61.0,82.0,1010.2,1007.9,1.0,5.0,24.9,23.8,,
2017-03-17,Dartmoor,5.7,23.3,0.0,,,ESE,41.0,SSE,SE,11.0,15.0,86.0,43.0,1024.4,1024.4,,,12.2,21.4,No,No
2017-01-05,PearceRAAF,18.1,27.5,0.0,,8.3,SW,52.0,W,WSW,17.0,28.0,76.0,51.0,1007.7,1007.1,8.0,,21.5,25.3,No,No
2015-08-21,Moree,7.0,24.2,,,,ENE,37.0,E,NNE,22.0,13.0,65.0,32.0,1026.4,1022.0,,,15.3,23.6,,
2015-05-15,Cairns,19.9,26.0,0.0,10.0,9.5,SSE,56.0,SSE,SSE,24.0,33.0,42.0,45.0,1020.3,1017.2,4.0,1.0,21.9,24.7,No,No
2010-04-02,SalmonGums,16.2,26.1,0.0,,,E,46.0,ENE,ENE,31.0,30.0,67.0,52.0,,,,,20.2,25.1,No,No
2014-09-20,Tuggeranong,0.5,18.0,0.0,,,SSW,30.0,S,SW,19.0,6.0,58.0,36.0,1025.0,1022.3,,,10.0,17.5,No,No
2010-06-02,Adelaide,6.8,17.9,0.2,0.4,5.7,WSW,20.0,NE,WSW,6.0,15.0,77.0,65.0,1022.7,1022.5,,,11.9,16.0,No,No
2015-12-26,BadgerysCreek,15.7,29.3,0.0,,,NNE,30.0,NNE,NNE,11.0,11.0,76.0,83.0,1009.3,1005.5,,,22.0,24.1,No,No
2013-07-18,GoldCoast,14.4,22.2,1.2,,,E,30.0,WNW,ESE,9.0,19.0,93.0,75.0,1024.9,1022.2,,,17.7,21.4,Yes,Yes
2017-01-24,Cobar,,,,,,,,,,,,,,,,,,,,,
2016-09-15,MountGinini,-2.2,1.1,24.2,,,WNW,63.0,WNW,W,19.0,33.0,97.0,97.0,,,,,-1.7,0.6,Yes,Yes
